word_id,synset_id,NoYES,NoTOTAL,acc_rate
31710,n#05418696,0,5,0.0000
31710,n#05575439,0,5,0.0000
31710,n#10341656,0,5,0.0000
31711,n#00508046,0,5,0.0000
31711,n#04469208,0,5,0.0000
31711,n#05378329,0,5,0.0000
31884,a#01062627,0,5,0.0000
31884,a#01065548,0,5,0.0000
31884,a#02273366,0,5,0.0000
31949,v#00632077,0,5,0.0000
31949,v#00640416,0,5,0.0000
31949,v#00645379,0,5,0.0000
31949,v#00654101,0,5,0.0000
31949,v#00659397,0,5,0.0000
31949,v#00660471,0,5,0.0000
31949,v#00661842,0,5,0.0000
31949,v#00665595,0,5,0.0000
31949,v#00712534,0,5,0.0000
32015,r#00081536,0,5,0.0000
32015,r#00244868,0,5,0.0000
32015,r#00499119,0,5,0.0000
32371,a#01836670,0,5,0.0000
32372,a#00350226,0,5,0.0000
32372,a#01560359,0,5,0.0000
32372,a#01779195,0,5,0.0000
32373,a#00398231,0,5,0.0000
32373,a#00401181,0,5,0.0000
32373,a#00429560,0,5,0.0000
32373,a#01525937,0,5,0.0000
32373,a#01779195,0,5,0.0000
32373,a#01836670,0,5,0.0000
32408,v#00426277,0,5,0.0000
32408,v#00427776,0,5,0.0000
32408,v#00430966,0,5,0.0000
32408,v#00445269,0,5,0.0000
32408,v#00453556,0,5,0.0000
32408,v#00459984,0,5,0.0000
32408,v#00461366,0,5,0.0000
32408,v#00461554,0,5,0.0000
32408,v#00465761,0,5,0.0000
32408,v#00469237,0,5,0.0000
32408,v#00482033,0,5,0.0000
32408,v#00501969,0,5,0.0000
32408,v#00621026,0,5,0.0000
32695,n#00020056,0,5,0.0000
32695,n#03440994,0,5,0.0000
32695,n#03977358,0,5,0.0000
32695,n#03977593,0,5,0.0000
32695,n#03983517,0,5,0.0000
32695,n#06080290,0,5,0.0000
32695,n#06082225,0,5,0.0000
32695,n#09597673,0,5,0.0000
32695,n#09920569,0,5,0.0000
32732,v#01289996,0,5,0.0000
32770,a#00298353,0,5,0.0000
32770,a#01678209,0,5,0.0000
32770,a#01678759,0,5,0.0000
32954,n#02255918,0,5,0.0000
32954,n#02256107,0,5,0.0000
32954,n#02256337,0,5,0.0000
32954,n#02256491,0,5,0.0000
32954,n#02717023,0,5,0.0000
32954,n#04119905,0,5,0.0000
32954,n#04465690,0,5,0.0000
32954,n#04753852,0,5,0.0000
32954,n#06263016,0,5,0.0000
32954,n#06278668,0,5,0.0000
